state,Gender,Year,Count
GA,F,1997,42756
GA,F,1998,44534
GA,F,1999,45729
GA,F,2000,48051
GA,F,2001,48229
GA,F,2002,48403
GA,F,2003,49734
GA,F,2004,50511
GA,F,2005,51362
GA,F,2006,53810
GA,F,2007,54191
GA,F,2008,52777
GA,F,2009,50672
GA,F,2010,47904
GA,F,2011,47663
GA,F,2012,47245
GA,F,2013,46479
GA,F,2014,48120
GA,F,2015,48571
GA,F,2016,47902
GA,F,2017,46977
GA,F,2018,46064
GA,F,2019,46016
GA,M,1961,47816
GA,M,1962,46900
GA,M,1963,46991
GA,M,1964,47694
GA,M,1965,44703
GA,M,1966,42199
GA,M,1967,40851
GA,M,1968,40972
GA,M,1969,42794
GA,M,1970,45127
GA,M,1971,43862
GA,M,1972,40567
GA,M,1973,39138
GA,M,1974,38141
GA,M,1975,36451
